index,Agent1 Ego Dynamics s,Agent1 Ego Dynamics d,Agent1 Ego Dynamics mu,Agent1 Ego Dynamics speed,Agent1 Ego Dynamics steering,Agent1 Ego Dynamics kappa,Agent1 Ego Dynamics tire velocity (action),Agent1 Ego Dynamics Acceleration (action),Agent2 Ego Dynamics s,Agent2 Ego Dynamics d,Agent2 Ego Dynamics mu,Agent2 Ego Dynamics speed,Agent2 Ego Dynamics steering,Agent2 Ego Dynamics kappa,Agent2 Ego Dynamics tire velocity (action),Agent2 Ego Dynamics Acceleration (action)
33,20.95325223588769,2.788395642130268,0.2326034244527941,6.730728941410779,-0.1866889732191339,0.0051458733021011,-0.4069381952285766,1.0,21.252861785415487,-1.0204867619680973,-1.361033125564535e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
34,21.636429249966188,2.862234850977424,0.1939128885991083,6.830728941410778,-0.2273827927419915,0.0045486764105133,-0.2353696376085281,1.0,21.252861793667257,-1.0204867619680973,-1.4022765535494554e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
35,22.33230699861621,2.897007087255719,0.1492288750992362,6.930728941410778,-0.2509197565028443,0.0044343473345581,-0.1078998893499374,1.0,21.25286180191903,-1.0204867619680973,-1.4435199815343755e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
36,23.039394060118703,2.893392745523244,0.1007336000568509,7.030728941410778,-0.2617097454378381,0.0043418975560056,-0.0262945815920829,1.0,21.2528618101708,-1.0204867619680973,-1.4847634095192954e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
39,25.2051817223717,2.6599755737932727,-0.0514034457560955,7.330728941410778,-0.2548317555570975,0.0041736804490101,0.1241813600063324,1.0,21.25286183492611,-1.0204867619680973,-1.608493693474056e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
40,25.93539893541047,2.5115356762569165,-0.1006856657587302,7.430728941410778,-0.2424136195564642,0.0037520007219053,0.1674476265907287,1.0,21.25286184317788,-1.0204867619680973,-1.649737121458976e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
41,26.66784486765094,2.3314909307565017,-0.1475984748650126,7.530728941410778,-0.2256688568973913,0.0033291137036499,0.1380959451198578,1.0,21.252861851429653,-1.0204867619680973,-1.6909805494438963e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
42,27.401623508420865,2.1215096389272032,-0.1919002582810939,7.630728941410777,-0.2118592623854055,0.0032890541256956,0.1488633602857589,1.0,21.252861859681424,-1.0204867619680973,-1.7322239774288162e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
43,28.13633105209865,1.8825508915860567,-0.2338884879371345,7.730728941410777,-0.1969729263568296,0.0029979140429508,0.2727317810058594,1.0,21.252861867933195,-1.0204867619680973,-1.7734674054137363e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
44,28.872299540814005,1.6187847781237783,-0.2720742973676296,7.8307289414107775,-0.1696997482562437,0.0031510944204557,0.2953599393367767,0.8622455596923828,21.25286187618497,-1.0204867619680973,-1.8147108333986566e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
