obs_s_original,obs_d_original,obs_mu_original,obs_speed_original,obs_steering_original,obs_kappa_original,ego_s_original,ego_d_original,ego_mu_original,ego_speed_original,ego_steering_original,ego_kappa_original,obs_s_noisy,obs_d_noisy,obs_mu_noisy,obs_speed_noisy,obs_steering_noisy,obs_kappa_noisy,ego_s_noisy,ego_d_noisy,ego_mu_noisy,ego_speed_noisy,ego_steering_noisy,ego_kappa_noisy,obs_s_filtered,obs_d_filtered,obs_mu_filtered,obs_speed_filtered,obs_steering_filtered,obs_kappa_filtered,ego_s_filtered,ego_d_filtered,ego_mu_filtered,ego_speed_filtered,ego_steering_filtered,ego_kappa_filtered
21.967970850704752,0.6750708071618247,0.102443310075497,0.3500000975182794,0.3499999994275429,-0.0194450836296105,5.71597495642634,-0.7211803819031262,-0.0744313636140168,6.352601506746892,-0.1248237318441975,-0.0295276239270652,26.366001485175747,0.7863705835228355,0.12817217405370757,0.3635288631831988,0.2528109193679341,-0.027832872736774747,3.548781819938383,-0.7424913649942791,-0.0766083013217075,5.970318088818527,-0.08144391365413935,-0.03332321803075958,21.209799059920385,0.6773881320471473,0.09360237316229657,0.16706754624206588,0.33539109110923,-0.022810289295824383,4.613987483779666,-0.537040299979754,-0.06789702525845814,5.631150804606367,-0.13861425541523562,-0.025365822826754845
21.979026011848124,0.6783353193982613,0.103705643628498,0.3500000975182794,0.3499999994275429,-0.0194450836296105,5.929908378307237,-0.7500527076519471,-0.074660352194989,6.320994764379006,-0.1244730156963669,-0.0298244039080984,14.661967235613663,0.5557791165364854,0.14192179092110677,0.28370105026496134,0.3251192636511867,-0.009446706195101524,4.319732959320326,-1.0779506224312343,-0.09127675607687692,4.040026635146879,-0.20260589302265203,-0.037106521366462496,19.332152052434214,0.6613631686283741,0.0999696387696188,-0.5247795921415077,0.3340375265024623,-0.02104931023161969,3.5604023030068186,-0.6083184703828507,-0.07097787686746634,4.597752131526317,-0.1470467194678398,-0.02691294714002719
21.9900764030988,0.6816139674430973,0.1049678844305367,0.3500000975182794,0.3499999994275429,-0.0194450836296105,6.1429266357595695,-0.7787825375522279,-0.0748388469781616,6.286181374119649,-0.1241743173505187,-0.0300305647023217,17.789781834519744,0.6702702526230421,0.080262784255916,0.3500881010800393,0.3972678576042402,-0.021745379564979957,6.816897287931732,-0.7296678762707661,-0.08892012282351057,6.132417733176646,-0.16167091278094498,-0.04380611682016428,19.65462412686214,0.6625368948902219,0.09737277848459232,0.2620019499778534,0.34236966979469136,-0.021141034398262887,4.515242290324338,-0.6243092238814757,-0.07334220679718853,5.516493255331435,-0.1489738147731279,-0.02913903560077357
22.00112200475584,0.6849067450319919,0.1062300320985267,0.3500000975182794,0.3499999994275429,-0.0194450836296105,6.354974422811392,-0.8073466966514304,-0.0749675783058705,6.251366157082628,-0.123753787351439,-0.0300305647023217,29.253910023598785,0.7523452094965909,0.1482564549387843,0.23308394877992974,0.2574382304418316,-0.01769951781426649,5.145930240883057,-1.20374320418027,-0.0649787161369849,5.841709055936659,-0.10699559724107513,-0.023138647688719795,22.19054245474454,0.6743713378402155,0.10407794791932039,0.17684427697634653,0.33117787449057395,-0.020687530378581908,5.869328388076621,-0.7006638288330255,-0.07224011225822738,5.502162342690557,-0.14344215745717748,-0.028348337671141165
22.012162797138917,0.6882136458749665,0.1074920862497821,0.3500000975182794,0.3499999994275429,-0.0194450836296105,6.566015841269245,-0.8357172296969503,-0.0750146067478164,6.212980312685575,-0.1232997609631192,-0.0302968758235624,19.658647126707567,0.7147048425494094,0.09399142880844454,0.3707581323389175,0.3489133894263652,-0.011425767134277271,7.685755212907915,-1.001687583721229,-0.07625568393926527,5.5066382194464545,-0.0892758661782841,-0.027182400054696198,21.995255797875426,0.6796862639976216,0.1027488022215663,0.1303046583954387,0.3335149625499167,-0.019467066447024887,6.247039573020135,-0.7403310742259406,-0.07276926208337565,5.417735128388315,-0.1363044231976937,-0.028194696861094364
22.023198760588368,0.691534663656434,0.1087540465020194,0.3500000975182794,0.3499999994275429,-0.0194450836296105,6.775863383836189,-0.863869792925438,-0.0750512041001436,6.170516207018837,-0.1229694323789698,-0.0300817526283164,19.64461641441023,0.6401697222106639,0.1111068390857684,0.25995216589826153,0.3423915082943387,-0.01644390654130922,7.723799785470782,-0.7619183491084178,-0.07627881696301846,7.055433338355014,-0.1296283211998992,-0.04431573463710714,21.78124574405377,0.6744789926953152,0.1038501780894552,0.5570572594831679,0.3346846646500583,-0.019068691156388696,6.537383067788845,-0.7431757259061548,-0.07323173181332214,6.14609786996882,-0.1354246834033613,-0.030319038050336155
22.03422987546532,0.6948697920352279,0.110015912473359,0.3500000975182794,0.3499999994275429,-0.0194450836296105,6.984431057372481,-0.8917900097945596,-0.0750831920280812,6.127716629011929,-0.122384708132873,-0.0300817526283164,24.271548274534176,0.37104747935274934,0.14330704018177046,0.32936717974911656,0.29562693716169197,-0.020612302806241156,6.122434639744172,-0.5436308794941822,-0.033278162206783334,6.879257452156489,-0.09615927174560546,-0.026579799154084708,22.05472715972501,0.6344944662111418,0.10904958513170072,0.44678977956504384,0.32953785335822294,-0.019272099761562553,6.428026581705404,-0.7168808097708881,-0.06796687140224693,6.22800032243504,-0.13025050464042903,-0.029826301831112206
22.04525612215172,0.6982190246446316,0.1112776837823261,0.3500000975182794,0.3499999994275429,-0.0194450836296105,7.191629374803798,-0.9194548754479992,-0.0751136753640806,6.080623019434141,-0.1218473946813767,-0.0299106866057236,23.37190051933778,1.0097661339003192,0.08881984916169461,0.4940329399112621,0.22629965521607542,-0.01752477908834378,8.999255205288842,-1.1013757578579852,-0.057349677410472234,7.462175279041466,-0.12383432779342432,-0.029836093002160533,22.078324780631043,0.6839456908719544,0.1063838224205379,0.5855296702949171,0.315933694639443,-0.019041847508047396,6.616876668851577,-0.7675474273066165,-0.06656779630396495,6.6041265724169556,-0.1294050163447671,-0.02982759205747591
22.056277481050408,0.7015823550924078,0.1125393600478524,0.3500000975182794,0.3499999994275429,-0.0194450836296105,7.397400128415754,-0.9468436740845144,-0.0750919269040287,6.031982882553087,-0.121165505030485,-0.0294457252133839,18.730917880964405,0.7470499423362934,0.08667779576810053,0.3830292417256511,0.32021857831549694,-0.020593347948295898,7.760090296835436,-1.1154491767426211,-0.08501020883196013,5.288067813739877,-0.11135309482660642,-0.03167878018881917,21.693990201933477,0.6922612200869109,0.10378707122649741,-0.1243860852179523,0.31649833290967194,-0.01924629565438497,6.824291224712137,-0.813391995528845,-0.06899803541800448,5.671499150882523,-0.12702623397611487,-0.030071531390109697
22.067293932585237,0.7049597769608283,0.113800940889278,0.3500000975182794,0.3499999994275429,-0.0194450836296105,7.601583434217355,-0.9739303132586684,-0.0751394641521247,5.98298585730628,-0.1201917644881008,-0.0294457252133839,17.747516106134107,0.7649855650801268,0.09712034686165283,0.24658750468214002,0.4010689201488874,-0.00781481789741848,5.290800883026858,-1.3535835249323602,-0.09620939883992403,5.062932574330783,-0.07281911126507279,-0.02767302147142208,21.065336568309544,0.7018444320163212,0.10290856716476639,-0.3555581978064095,0.32764257711817857,-0.017739918745502955,6.5136072434798,-0.8845754473595776,-0.07258379837791543,5.244419005003699,-0.11988311917636073,-0.029755469019692744
