Episode,Total Reward,Episode Length,Policy Loss,Value Loss,Entropy
10423,-169391.77461189032,10423,,77041.43774414062,-2.7875150054693223
20846,-184335.37908804417,10423,,86106.18015136718,-2.7527839742600917
31269,-180217.1608518362,10423,,81241.99388427734,-2.7117190949618815
41692,-171631.02608850598,10423,,67531.37355957032,-2.6372396051883698
52115,-171989.91115421057,10423,,68611.9655517578,-2.5998154006898404
62538,-144540.5536533296,10423,,41934.3238647461,-2.5594398409128187
72961,-144252.40011933446,10423,,49787.29305419922,-2.528452642261982
83384,-127815.94016477466,10423,,30008.56905517578,-2.4105742767453195
93807,-120840.28399315476,10423,,25132.15101928711,-2.3253751173615456
