Episode,Total Reward,Episode Length,Policy Loss,Value Loss,Entropy
10423,-191413.35501110554,10423,,101743.70065917968,-34.12943937778473
20846,-186539.2048112154,10423,,103824.28481445313,-34.04942514896393
31269,-182420.30423146486,10423,,83415.76479492188,-34.1303368806839
41692,-172268.7072622478,10423,,67617.92606201171,-34.08460949659347
52115,-182348.23305749893,10423,,80961.01990966797,-34.04824620485306
62538,-168450.4537615776,10423,,68159.0776977539,-34.02804207801819
72961,-187202.9613479972,10423,,81278.99229736328,-34.007844185829164
83384,-178784.74943894148,10423,,71386.22974853516,-33.95967948436737
93807,-176842.10828089714,10423,,64526.934814453125,-33.876209461688994
